tool,target,url,api_status_code,target_status_code,response_ms,has_title,has_expected_content,title,content_type,success,error
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,4865,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,4380,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2061,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2356,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1951,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1951,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1641,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2233,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1733,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1971,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1408,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1478,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1708,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1901,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1878,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1786,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1700,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2078,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2229,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2163,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2116,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1728,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1573,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1760,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1756,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2073,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2065,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1973,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1741,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1493,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1778,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1588,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1780,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1567,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1519,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1633,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1650,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1382,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1922,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1396,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1274,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1368,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1434,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1417,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1404,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1311,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1369,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1312,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,5143,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1261,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1376,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1229,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1487,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2093,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1756,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1721,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1582,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1280,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1118,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1393,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1273,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1572,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1516,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1655,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1362,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1422,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1514,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1254,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1298,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1460,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1332,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1404,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1391,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1447,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1456,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1428,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1736,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1563,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
